S. No.,Crash Date,Crash Day,Location,State,LatLong,latitude,longitude,Road Type,Crash Type,Killed,Injured,Vehicle 1,Vehicle/Object 2,Million Plus City
1238,2022-10-27,Thursday,Morgaon,Maharashtra,"18.14618749717706, 74.56718253781582",18.14618749717706,74.56718253781582,OR,Hit and Run,3,0,Pedestrian,SUV,Nil
1239,2022-10-28,Friday,Kesamudram,Telangana,"17.688016079430852, 79.89392851062833",17.688016079430852,79.89392851062833,OR,Run Off Road,4,3,Car,Ditch,Nil
1240,2022-10-28,Friday,Dewas Bypass,Madhya Pradesh,"22.926332572622865, 76.0115211646357",22.926332572622865,76.0115211646357,NH,Hit and Run,1,2,Car,SUV,Nil
1241,2022-10-28,Friday,Indiranagar,Maharashtra,"18.464665044127813, 73.86427239354803",18.464665044127813,73.86427239354803,OR,Hit and Run,1,0,Two Wheeler,Unidentified,Pune
1242,2022-10-28,Friday,Sahyadri Nursery,Maharashtra,"20.03323642706155, 73.85964826800533",20.03323642706155,73.85964826800533,NH,Hit and Run,1,0,Pedestrian,Two Wheeler,Nashik
1243,2022-10-27,Thursday,Mandla,Madhya Pradesh,"22.59669685394062, 80.36986110206573",22.59669685394062,80.36986110206573,OR,Others,1,0,Two Wheeler,Tractor,Nil
1244,2022-10-29,Saturday,Bikram-Bihta Rd,Bihar,"25.50514359461877, 84.86510399568847",25.50514359461877,84.86510399568847,SH,Others,3,0,Car,Truck,Nil
1245,2022-10-29,Saturday,Bihta,Bihar,"25.55447358818071, 84.86617772481523",25.55447358818071,84.86617772481523,SH,Head On Collision ,1,1,Two Wheeler,Truck,Nil
1246,2022-10-29,Saturday,Simri,Bihar,"25.640953934035768, 84.11521632039651",25.640953934035768,84.11521632039651,OR,With Parked Vehicle,2,0,Bus,Truck,Nil
1247,2022-10-29,Saturday,Jhanjeri,Punjab,"30.68284480941984, 76.61719372787276",30.68284480941984,76.61719372787276,SH,Hit and Run,3,0,Pedestrian,Car,Nil
1248,2022-10-29,Saturday,Sector 28,Punjab,"30.716841466984384, 76.80458595561909",30.716841466984384,76.80458595561909,OR,Others,1,1,Two Wheeler,Car,Chandigarh
1249,2022-10-31,Monday,Junoni,Maharashtra,"17.24338242804452, 75.00424475373016",17.24338242804452,75.00424475373016,NH,Hit and Run,4,4,Pedestrian,Car,Nil
1250,2022-10-29,Saturday,PTS Rajnandgaon,Chhattisgarh,"21.09523014387065, 81.00741500393691",21.09523014387065,81.00741500393691,SH,Fixed Object Collision,2,1,Car,Tree,Nil
1251,2022-10-30,Sunday,DK Road,Telangana,"17.438425267294747, 78.45059784004324",17.438425267294747,78.45059784004324,OR,Hit and Run,1,0,Pedestrian,Bus,Hyderabad
1252,2022-10-31,Monday,Sargaon,Chhattisgarh,"21.900406301426102, 81.9815146263907",21.900406301426102,81.9815146263907,SH,With Parked Vehicle,1,2,Car,Truck,Nil
1253,2022-10-29,Saturday,Airia Mall,Haryana,"28.38378552681842, 77.05328822442098",28.38378552681842,77.05328822442098,NH,Head On Collision ,1,1,Two Wheeler,Car,Nil
1254,2022-10-30,Sunday,Adilabad,Telangana,"19.66430394939275, 78.52895617239561",19.66430394939275,78.52895617239561,OR,Others,4,0,Car,Truck,Nil
1255,2022-10-30,Sunday,Laggere Bridge,Karnataka,"13.010315462356882, 77.52756974278834",13.010315462356882,77.52756974278834,OR,Fixed Object Collision,2,0,Two Wheeler,Pole,Bengaluru
1256,2022-10-30,Sunday,Medchal,Telangana,"17.635476518528307, 78.4851888279516",17.635476518528307,78.4851888279516,NH,Hit From Back,3,9,Car,Lorry,Nil
1257,2022-11-02,Wednesday,Ghuraiya Hotel,Madhya Pradesh,"26.420849039258535, 78.05370856131539",26.420849039258535,78.05370856131539,NH,Others,5,3,SUV,Truck,Nil
1258,2022-11-01,Tuesday,Gamjal Toll Plaza,Telangana,"19.027063178328984, 78.36298370549322",19.027063178328984,78.36298370549322,NH,Fixed Object Collision,1,3,SUV,Tree,Nil
1259,2022-10-31,Monday,Sodhaliya,Gujarat,"22.05943267063244, 73.82253877574095",22.05943267063244,73.82253877574095,OR,Vehicle Overturn,3,2,Car,Ditch,Nil
1260,2022-11-02,Wednesday,Kurana,Uttar Pradesh,"28.028460686612323, 77.62333495442708",28.028460686612323,77.62333495442708,NH,Others,5,8,Two Wheeler,Truck,Nil
1261,2022-11-01,Tuesday,Basti Jodhewal,Punjab,"30.932516169629725, 75.8677287599747",30.932516169629725,75.8677287599747,NH,Hit From Back,2,1,SUV,Truck,Ludhiana
1262,2022-11-01,Tuesday,Tappal,Uttar Pradesh,"28.04188431027413, 77.58330316350516",28.04188431027413,77.58330316350516,NH,Hit and Run,5,6,Two Wheeler,Truck,Nil
1263,2022-11-01,Tuesday,Kompally Bridge,Telangana,"17.56429663919786, 78.49334533381393",17.56429663919786,78.49334533381393,NH,Fixed Object Collision,2,0,Two Wheeler,Divider,Hyderabad
1264,2022-11-02,Wednesday,Tadbanpally,Telangana,"17.705116700596818, 78.0941287496498",17.705116700596818,78.0941287496498,NH,Head On Collision ,2,0,Auto Rickshaw,SUV,Nil
1265,2022-11-02,Wednesday,Park Circus ,West Bengal,"22.53915746745593, 88.37358247336473",22.53915746745593,88.37358247336473,OR,Head On Collision ,1,0,Pedestrian,Truck,Kolkata
1266,2022-11-04,Friday,Gudgaon,Madhya Pradesh,"21.60189976066658, 77.71458618022855",21.60189976066658,77.71458618022855,OR,Head On Collision ,11,0,Car,Bus,Nil
1267,2022-11-03,Thursday,Eco Park,West Bengal,"22.603810294401853, 88.46977913340776",22.603810294401853,88.46977913340776,OR,Hit From Back,1,1,Car,Van,Nil
1268,2022-11-02,Wednesday,Hanuman Junction,Karnataka,"13.009116547883451, 78.1864943926819",13.009116547883451,78.1864943926819,OR,Hit From Back,1,1,Two Wheeler,Bus,Nil
1269,2022-11-02,Wednesday,Kamakshipalya,Karnataka,"12.985166001053273, 77.52430014271957",12.985166001053273,77.52430014271957,OR,Hit From Back,1,0,Two Wheeler,Bus,Bengaluru
1270,2022-11-04,Friday,Dasna,Uttar Pradesh,"28.684720458145044, 77.52090636565661",28.684720458145044,77.52090636565661,NH,Head On Collision ,2,0,Ambulance,Truck,Ghaziabad
1271,2022-11-04,Friday,Bhagirathpura,Madhya Pradesh,"22.736123280876676, 75.86362615356401",22.736123280876676,75.86362615356401,OR,Fixed Object Collision,2,0,Two Wheeler,Divider,Indore
1272,2022-11-03,Thursday,Kharghar Skywalk,Maharashtra,"19.0265073987421, 73.05742370796258",19.0265073987421,73.05742370796258,NH,Hit From Back,1,1,Two Wheeler,Truck,Mumbai
1273,2022-11-04,Friday,Mathura Cantonment,Uttar Pradesh,"27.484866638723137, 77.68776852076145",27.484866638723137,77.68776852076145,NH,Head On Collision ,4,4,Car,Car,Nil
1274,2022-11-06,Sunday,Gurha Kumawatan,Rajasthan,"26.938019550557154, 75.51456395426437",26.938019550557154,75.51456395426437,OR,Head On Collision ,3,3,Two Wheeler,Two Wheeler,Nil
1275,2022-11-05,Saturday,Kalaghat,Madhya Pradesh,"22.16021606354261, 75.44686078799634",22.16021606354261,75.44686078799634,NH,Hit From Back,4,0,Two Wheeler,Bus,Nil
1276,2022-11-04,Friday,Belgachia Bridge,West Bengal,"22.603746729307865, 88.37949618025485",22.603746729307865,88.37949618025485,OR,Hit and Run,1,0,Pedestrian,Two Wheeler,Kolkata
1277,2022-11-04,Friday,Laha Bari,West Bengal,"22.59149529340383, 88.37117242852943",22.59149529340383,88.37117242852943,OR,Hit and Run,1,0,Pedestrian,Two Wheeler,Kolkata
1278,2022-11-05,Saturday,Vanabadrakalimman,Tamil Nadu,"10.993631217180676, 76.98248328605914",10.993631217180676,76.98248328605914,OR,Hit and Run,1,1,Pedestrian,Unidentified,Coimbatore
1279,2022-11-05,Saturday,Ganpati Ghat,Madhya Pradesh,"22.373075049293465, 75.52479322342779",22.373075049293465,75.52479322342779,NH,Head On Collision ,4,0,Two Wheeler,Bus,Nil
1280,2022-11-06,Sunday,Dungra Chhota,Rajasthan,"23.16809806028498, 74.31279268503023",23.16809806028498,74.31279268503023,OR,Head On Collision ,3,3,Two Wheeler,Two Wheeler,Nil
1281,2022-11-06,Sunday,Patriya,Rajasthan,"23.15196396922503, 74.30044703815592",23.15196396922503,74.30044703815592,OR,With Parked Vehicle,1,1,Two Wheeler,Truck,Nil
1282,2022-11-06,Sunday,Kotmi,Chhattisgarh,"22.8151476870785, 82.09155502478767",22.8151476870785,82.09155502478767,SH,With Parked Vehicle,3,0,Two Wheeler,Truck,Nil
1283,2022-11-06,Sunday,Godari,Chhattisgarh,"21.166374362141806, 82.02690125718406",21.166374362141806,82.02690125718406,OR,Fixed Object Collision,2,0,Car,Tree,Nil
1284,2022-11-07,Monday,Anupgarh,Rajasthan,"29.197095840789228, 73.22412562749123",29.197095840789228,73.22412562749123,NH,Fixed Object Collision,4,1,Car,Divider,Nil
1285,2022-11-05,Saturday,Irumbuliyar,Tamil Nadu,"12.919932693787887, 80.111051133181",12.919932693787887,80.111051133181,SH,Fixed Object Collision,1,1,Two Wheeler,Divider,Chennai
1286,2022-11-07,Monday,Pratap Chowk,Punjab,"30.889630233878883, 75.86310476667818",30.889630233878883,75.86310476667818,OR,Hit From Back,1,1,Two Wheeler,Truck,Ludhiana
1287,2022-11-06,Sunday,Kotmi,Chhattisgarh,"21.836022347490687, 83.14062173571318",21.836022347490687,83.14062173571318,OR,With Parked Vehicle,3,0,Two Wheeler,Truck,Nil
1288,2022-11-06,Sunday,Ghodari,Chhattisgarh,"21.169524356559652, 82.03530377208584",21.169524356559652,82.03530377208584,NH,Fixed Object Collision,2,0,Car,Tree,Nil
1289,2022-11-06,Sunday,Pathariya,Chhattisgarh,"21.837292736953927, 81.90286490362809",21.837292736953927,81.90286490362809,NH,Head On Collision ,1,0,Two Wheeler,Car,Nil
1290,2022-11-07,Monday,Thana Tappal,Uttar Pradesh,"28.043663479402937, 77.5790983609343",28.043663479402937,77.5790983609343,NH,Hit and Run,3,2,Pedestrian,Car,Nil
1291,2022-11-08,Tuesday,Ramnagriya,Rajasthan,"26.82033722245593, 75.87456638419907",26.82033722245593,75.87456638419907,OR,Hit and Run,1,0,Pedestrian,Truck,Jaipur
1292,2022-11-09,Wednesday,Pattanam,Tamil Nadu,"10.983245972650325, 77.04921377211528",10.983245972650325,77.04921377211528,NH,Head On Collision ,1,2,Truck,Truck,Coimbatore
1293,2022-11-09,Wednesday,Perumbakkam,Tamil Nadu,"12.89236556129924, 80.18872763057632",12.89236556129924,80.18872763057632,OR,Hit From Back,1,1,Two Wheeler,Bus,Nil
1294,2022-11-09,Wednesday,Suke Kulan,Goa,"15.682378247111638, 73.83395900284525",15.682378247111638,73.83395900284525,NH,Hit From Side,1,2,Car,Crane,Nil
1295,2022-11-09,Wednesday,Trimbakeshwar Rd,Maharashtra,"19.946401518149656, 73.59990527078837",19.946401518149656,73.59990527078837,OR,Head On Collision ,1,1,Two Wheeler,Bus,Nil
1296,2022-11-11,Friday,Thavanam Palli,Andhra Pradesh,"13.263755129233203, 79.01177860886744",13.263755129233203,79.01177860886744,SH,With Parked Vehicle,3,0,Car,Truck,Nil
1297,2022-11-12,Saturday,Amroha,Uttar Pradesh,"28.906938850995687, 78.47690637211832",28.906938850995687,78.47690637211832,SH,Head On Collision ,3,0,Car,SUV,Nil
1298,2022-11-11,Friday,Pipalkhunta,Madhya Pradesh,"23.145432253457194, 75.07122922984281",23.145432253457194,75.07122922984281,OR,Hit and Run,3,1,Pedestrian,Truck,Nil
1299,2022-11-11,Friday,Fitari,Uttarakhand,"31.14253660747368, 78.265141668431",31.14253660747368,78.265141668431,OR,Vehicle Overturn,1,3,Car,Gorge,Nil
1300,2022-11-12,Saturday,Samrala Rd,Punjab,"30.913165008762128, 75.87110012928143",30.913165008762128,75.87110012928143,OR,Head On Collision ,3,4,Car,Car,Ludhiana
1301,2022-11-12,Saturday,Electronic City Expressway,Karnataka,"12.877966005732084, 77.64683164558797",12.877966005732084,77.64683164558797,NH,Hit From Side,1,0,Two Wheeler,Lorry,Bengaluru
1302,2022-11-11,Friday,Paliya,Uttar Pradesh,"27.53762373689336, 79.4525978524351",27.53762373689336,79.4525978524351,OR,Fixed Object Collision,3,2,Car,Tree,Nil
1303,2022-11-11,Friday,Banaswadi,Karnataka,"13.015265802638504, 77.66202345804389",13.015265802638504,77.66202345804389,NH,Hit and Run,1,0,Pedestrian,Truck,Bengaluru
1304,2022-11-12,Saturday,Khodaypur,Uttar Pradesh,"26.044171036000026, 81.10449657552155",26.044171036000026,81.10449657552155,SH,Hit and Run,2,0,Pedestrian,Truck,Nil
1305,2022-11-14,Monday,Peddinaidupeta,Andhra Pradesh,"18.717029100393717, 84.35496793411751",18.717029100393717,84.35496793411751,NH,Fixed Object Collision,2,2,Car,Wall,Nil
1306,2022-11-13,Sunday,Anekere,Karnataka,"12.912005303666117, 76.34183653698936",12.912005303666117,76.34183653698936,OR,Head On Collision ,1,0,Two Wheeler,Truck,Nil
1307,2022-11-14,Monday,Taki Rd,West Bengal,"22.69263043044694, 88.70236982066494",22.69263043044694,88.70236982066494,SH,Head On Collision ,3,5,Van,Truck,Nil
1308,2022-11-14,Monday,Aali,Madhya Pradesh,"22.47913420881438, 75.4157619980225",22.47913420881438,75.4157619980225,SH,Fixed Object Collision,4,0,Two Wheeler,Wall,Nil
1309,2022-11-14,Monday,Khamla,Madhya Pradesh,"22.605255932255112, 75.40407663722769",22.605255932255112,75.40407663722769,OR,Others,2,0,Two Wheeler,Car,Nil
1310,2022-11-14,Monday,Khidkiwala ,Madhya Pradesh,"22.34199723547302, 77.11095945036001",22.34199723547302,77.11095945036001,SH,Head On Collision ,1,1,Two Wheeler,Car,Nil
1311,2022-11-16,Wednesday,Jaiahari,Madhya Pradesh,"23.151400705564466, 81.32105149863257",23.151400705564466,81.32105149863257,NH,Hit and Run,2,0,Pedestrian,Car,Nil
1312,2022-11-16,Wednesday,Mallepalli,Andhra Pradesh,"17.157969968494445, 81.9959778880999",17.157969968494445,81.9959778880999,NH,Head On Collision ,4,8,Van,Tractor,Nil
1313,2022-11-15,Tuesday,Machhiwara Kohara Rd,Punjab,"30.90961677407428, 76.17570552285814",30.90961677407428,76.17570552285814,OR,Others,2,2,Two Wheeler,Truck,Nil
1314,2022-11-15,Tuesday,Chingrighata Crossing,West Bengal,"22.55788854866375, 88.41156662701462",22.55788854866375,88.41156662701462,SH,Hit and Run,1,0,Pedestrian,Bus,Kolkata
1315,2022-11-10,Thursday,Vasantdadanagar,Maharashtra,"20.040398986371844, 73.85315924485533",20.040398986371844,73.85315924485533,OR,Hit and Run,1,0,Pedestrian,Two Wheeler,Nashik
1316,2022-11-10,Thursday,Malhar Khan Slums,Maharashtra,"20.006128902898393, 73.78215597799931",20.006128902898393,73.78215597799931,OR,Head On Collision ,1,0,Two Wheeler,Two Wheeler,Nashik
1317,2022-11-14,Monday,Bhandari Hospital,Madhya Pradesh,"22.75265913716417, 75.88905087507547",22.75265913716417,75.88905087507547,SH,Fixed Object Collision,1,2,Two Wheeler,Divider,Indore
1318,2022-11-14,Monday,Manasa,Madhya Pradesh,"22.777170793297625, 75.31797536258264",22.777170793297625,75.31797536258264,NH,Hit and Run,1,1,Two Wheeler,Unidentified,Nil
1319,2022-11-14,Monday,Khandwa,Madhya Pradesh,"21.828574719383823, 76.35241466082152",21.828574719383823,76.35241466082152,SH,Hit and Run,1,0,Pedestrian,Unidentified,Nil
1320,2022-11-15,Tuesday,Ghata,Haryana,"28.417918594240813, 77.1000577928368",28.417918594240813,77.1000577928368,OR,Hit From Back,1,1,Bicycle,Car,Nil
1321,2022-11-16,Wednesday,Srivilliputhur,Tamil Nadu,"9.512194771478097, 77.63405328187649",9.512194771478097,77.63405328187649,NH,Hit From Side,1,1,Two Wheeler,Car,Nil
1322,2022-11-16,Wednesday,Kanaka Durga Flyover,Andhra Pradesh,"16.520724546873723, 80.5991523206196",16.520724546873723,80.5991523206196,NH,Head On Collision ,2,11,Lorry,Truck,Vijayawada
1323,2022-11-17,Thursday,Banekuchi,Assam,"26.46531928732988, 91.38738432227765",26.46531928732988,91.38738432227765,NH,Fixed Object Collision,4,4,Car,Railing,Nil
1324,2022-11-17,Thursday,Ghagrapar circle,Assam,"26.452658392784468, 91.52925612294673",26.452658392784468,91.52925612294673,NH,Fixed Object Collision,3,0,Car,Railing,Nil
1325,2022-11-16,Wednesday,Nowda,West Bengal,"23.906520346704294, 88.45715036328681",23.906520346704294,88.45715036328681,OR,Hit and Run,1,0,Pedestrian,Car,Nil
1326,2022-11-17,Thursday,Chaksu,Rajasthan,"26.605941712405784, 75.9464134490382",26.605941712405784,75.9464134490382,SH,Head On Collision ,2,0,Two Wheeler,Truck,Nil
1327,2022-11-17,Thursday,Sirohi,Rajasthan,"24.875343542281684, 72.86401469452525",24.875343542281684,72.86401469452525,SH,Head On Collision ,3,0,Two Wheeler,Bus,Nil
1328,2022-11-16,Wednesday,Dhakoli,Punjab,"30.65840334955016, 76.82078084047541",30.65840334955016,76.82078084047541,NH,Hit From Side,1,0,Two Wheeler,Truck,Nil
1329,2022-11-16,Wednesday,Sohana Hospital,Punjab,"30.694405242332124, 76.69910588052726",30.694405242332124,76.69910588052726,SH,Others,1,0,Two Wheeler,Car,Nil
1330,2022-11-16,Wednesday,Kunuk Bridge,Madhya Pradesh,"23.4623810555033, 81.62031380403636",23.4623810555033,81.62031380403636,OR,Head On Collision ,3,20,Bus,Truck,Nil
1331,2022-11-16,Wednesday,Mallepalli,Andhra Pradesh,"17.158188199934717, 81.99464155439738",17.158188199934717,81.99464155439738,NH,Head On Collision ,4,0,Van,Truck,Nil
1332,2022-11-16,Wednesday,Adi Badri,Haryana,"30.455038758921834, 77.34040527956546",30.455038758921834,77.34040527956546,OR,Vehicle Overturn,2,1,Car,Gorge,Nil
1333,2022-11-16,Wednesday,Ponnekallu,Andhra Pradesh,"16.406236755712985, 80.40574691097999",16.406236755712985,80.40574691097999,OR,Hit and Run,2,0,Two Wheeler,Unidentified,Nil
1334,2022-11-16,Wednesday,Inthkhedi,Madhya Pradesh,"23.030184850207604, 77.62914651163783",23.030184850207604,77.62914651163783,OR,Hit and Run,1,0,Two Wheeler,Unidentified,Nil
1335,2022-11-17,Thursday,Tiruvallur,Tamil Nadu,"13.121091041606617, 79.91075089321942",13.121091041606617,79.91075089321942,OR,Fixed Object Collision,1,0,Two Wheeler,Divider,Chennai
1336,2022-11-16,Wednesday,Gajner,Madhya Pradesh,"26.284292037794447, 80.06602269926175",26.284292037794447,80.06602269926175,OR,Hit From Side,2,0,Van,Train,Nil
1337,2022-11-18,Friday,Ranchi Ring Rd,Jharkhand,"23.447032519188465, 85.34401968554762",23.447032519188465,85.34401968554762,OR,Fixed Object Collision,2,0,Truck,Divider,Nil
1338,2022-11-18,Friday,Dr NTR Beach Rd,Andhra Pradesh,"17.790396174537317, 83.38524165467386",17.790396174537317,83.38524165467386,SH,Fixed Object Collision,1,1,Two Wheeler,Divider,Vizag
1339,2022-11-18,Friday,Kashipatnam,Andhra Pradesh,"18.173908161533664, 83.07705615563678",18.173908161533664,83.07705615563678,OR,Fixed Object Collision,1,1,Two Wheeler,Wall,Nil
1340,2022-11-18,Friday,Palla Jakhol Rd,Uttarakhand,"30.529681817576638, 79.47554180433299",30.529681817576638,79.47554180433299,OR,Vehicle Overturn,12,5,Pick Up,Gorge,Nil
1341,2022-11-17,Thursday,Senjeriputhur,Tamil Nadu,"10.817256737653189, 77.273122035737",10.817256737653189,77.273122035737,SH,Fixed Object Collision,1,1,SUV,Pole,Nil
1342,2022-11-16,Wednesday,Bilaspur Chowk,Haryana,"28.28863953834606, 76.86016916880224",28.28863953834606,76.86016916880224,NH,Head On Collision ,2,0,Two Wheeler,Two Wheeler,Nil
1343,2022-11-18,Friday,Kamarjar Salai,Tamil Nadu,"13.033464733203742, 80.27745588130928",13.033464733203742,80.27745588130928,OR,Hit From Back,1,1,Two Wheeler,Bus,Chennai
1344,2022-11-18,Friday,509 Chowk,Maharashtra,"18.575427291444658, 73.89939989300919",18.575427291444658,73.89939989300919,OR,Hit and Run,1,0,Two Wheeler,Unidentified,Pune
1345,2022-11-19,Saturday,Brahmkhal,Uttarakhand,"30.71096037303688, 78.3478945417708",30.71096037303688,78.3478945417708,NH,Vehicle Overturn,5,1,Car,Gorge,Nil
1346,2022-11-20,Sunday,Nayaganj,Bihar,"25.620056059862137, 85.45619403250178",25.620056059862137,85.45619403250178,NH,Hit and Run,8,7,Pedestrian,Truck,Nil
1347,2022-11-20,Sunday,Hathua,Bihar,"26.364744286924676, 84.36332624847657",26.364744286924676,84.36332624847657,OR,Fixed Object Collision,2,0,SUV,Wall,Nil
1348,2022-11-20,Sunday,Sangat,Punjab,"30.08992688123, 74.83402077682243",30.08992688123,74.83402077682243,OR,Head On Collision ,2,0,Two Wheeler,Bus,Nil
1349,2022-11-20,Sunday,Kurar Metro Station,Maharashtra,"19.187585794269648, 72.8582979895844",19.187585794269648,72.8582979895844,OR,Hit and Run,1,0,Pedestrian,Truck,Mumbai
1350,2022-11-22,Tuesday,Boddugudem,Telangana,"17.41604008317256, 79.35145036527567",17.41604008317256,79.35145036527567,OR,Head On Collision ,8,2,Lorry,SUV,Nil
1351,2022-11-22,Tuesday,Atariya,Uttar Pradesh,"27.54684620747111, 79.74536007975173",27.54684620747111,79.74536007975173,OR,Vehicle Overturn,5,6,SUV,Ditch,Nil
1352,2022-11-21,Monday,Chuharpur Rd,Punjab,"30.93155089781897, 75.8020489219434",30.93155089781897,75.8020489219434,OR,Fixed Object Collision,1,2,Car,Tree,Ludhiana
1353,2022-11-20,Sunday,Dari Pul,Maharashtra,"18.432456042355387, 73.8381317293159",18.432456042355387,73.8381317293159,NH,Others,1,0,Two Wheeler,Truck,Pune
1354,2022-11-20,Sunday,Mummallapalle,Telangana,"16.31830655019522, 77.95075530161922",16.31830655019522,77.95075530161922,NH,Hit From Back,3,16,Bus,Tractor,Nil
1355,2022-11-21,Monday,Hatiakhowa,Assam,"26.61980908993047, 94.02343225966489",26.61980908993047,94.02343225966489,OR,Head On Collision ,5,0,Car,Truck,Nil
1356,2022-11-22,Tuesday,SH 25,Uttar Pradesh,"27.44540537277724, 80.11582304632411",27.44540537277724,80.11582304632411,NH,Run Off Road,5,0,SUV,Nil,Nil
1357,2022-11-22,Tuesday,Chikkonahalli,Karnataka,"13.117553016646875, 76.70355899910632",13.117553016646875,76.70355899910632,OR,Hit From Back,1,2,Two Wheeler,Bus,Nil
1358,2022-11-21,Monday,Bihaguri,Assam,"26.70337115043496, 92.70418700131626",26.70337115043496,92.70418700131626,OR,Head On Collision ,2,0,Two Wheeler,Truck,Nil
1359,2022-11-23,Wednesday,Shirasi,Maharashtra,"17.581023297779254, 76.25967599791673",17.581023297779254,76.25967599791673,NH,With Parked Vehicle,3,3,Car,Truck,Nil
1360,2022-11-22,Tuesday,Marie Poussepin's Academy,Maharashtra,"21.21352805697569, 79.13283161552614",21.21352805697569,79.13283161552614,OR,Hit and Run,1,0,Pedestrian,Bus,Nagpur
1361,2022-11-22,Tuesday,Pushpak Nagar,Maharashtra,"18.969945860027266, 73.08309419853339",18.969945860027266,73.08309419853339,OR,With Parked Vehicle,2,0,SUV,Truck,Mumbai
1362,2022-11-23,Wednesday,Koyembedu,Tamil Nadu,"13.075485551645427, 80.19903427346826",13.075485551645427,80.19903427346826,OR,Hit From Back,1,0,Two Wheeler,Truck,Chennai
1363,2022-11-22,Tuesday,Nayangarh,Madhya Pradesh,"24.271466866811885, 75.05168429622357",24.271466866811885,75.05168429622357,OR,Fixed Object Collision,1,0,Two Wheeler,Tree,Nil
1364,2022-11-22,Tuesday,Ghinghartola,Uttarakhand,"29.829189079464633, 79.85159256036074",29.829189079464633,79.85159256036074,OR,Vehicle Overturn,1,1,Car,Ditch,Nil
1365,2022-11-23,Wednesday,Chota Kashmir,Maharashtra,"19.161963423521573, 72.87188481158118",19.161963423521573,72.87188481158118,OR,Hit From Back,1,1,Two Wheeler,Bus,Mumbai
1366,2022-11-21,Monday,Ahmednagar Rd,Maharashtra,"18.990369786094597, 75.75142734060948",18.990369786094597,75.75142734060948,NH,Head On Collision ,1,0,Two Wheeler,Truck,Nil
1367,2022-11-21,Monday,Shivshakti Road Lines,Maharashtra,"18.453444782040105, 73.84078903488914",18.453444782040105,73.84078903488914,NH,Hit and Run,1,0,Pedestrian,Unidentified,Pune
1368,2022-11-23,Wednesday,Udgir,Maharashtra,"18.38862883333705, 77.12119369995887",18.38862883333705,77.12119369995887,OR,Others,1,5,Tractor,Truck,Nil
1369,2022-11-23,Wednesday,Boliyar,Karnataka,"12.833735043168385, 74.97083624240882",12.833735043168385,74.97083624240882,OR,Hit and Run,1,8,Pedestrian,Bus,Nil
1370,2022-11-23,Wednesday,Amulya Amrutalaya,Maharashtra,"19.431339821794673, 80.06233300389967",19.431339821794673,80.06233300389967,OR,Hit and Run,1,0,Pedestrian,Truck,Nil
1371,2022-11-23,Wednesday,Old Airport Rd,Karnataka,"12.954700978073774, 77.6843094701265",12.954700978073774,77.6843094701265,OR,Hit From Back,1,0,Two Wheeler,Bus,Bengaluru
1372,2022-11-24,Thursday,Swati Park,Gujarat,"22.251352838330064, 70.80791260812796",22.251352838330064,70.80791260812796,NH,Hit and Run,1,2,Pedestrian,Two Wheeler,Rajkot
1373,2022-11-24,Thursday,Rabupura,Uttar Pradesh,"28.253160766999283, 77.6023364007142",28.253160766999283,77.6023364007142,OR,Hit From Back,1,0,Two Wheeler,Tractor,Nil
1374,2022-11-26,Saturday,Khajrana,Madhya Pradesh,"22.731244661918943, 75.90263711866906",22.731244661918943,75.90263711866906,SH,Head On Collision ,1,1,Two Wheeler,Truck,Indore
1375,2022-11-27,Sunday,Aoras,Uttar Pradesh,"26.907522896186578, 80.50137862083321",26.907522896186578,80.50137862083321,OR,Fixed Object Collision,2,0,Two Wheeler,Railing,Nil
1376,2022-11-27,Sunday,Pothireddipalem,Andhra Pradesh,"16.242889744416413, 81.22009173032612",16.242889744416413,81.22009173032612,SH,Hit and Run,3,0,Pedestrian,Car,Nil
1377,2022-11-27,Sunday,Mau Aima,Uttar Pradesh,"25.701157202774304, 81.9090760185718",25.701157202774304,81.9090760185718,NH,Others,2,0,Two Wheeler,Pick Up,Nil
1378,2022-11-28,Monday,Samroli,Jammu,"32.9911780391831, 75.19505566014274",32.9911780391831,75.19505566014274,NH,Vehicle Overturn,4,0,Car,Gorge,Nil
1379,2022-11-27,Sunday,Kumtha,Madhya Pradesh,"21.62669454526135, 76.48345071187337",21.62669454526135,76.48345071187337,OR,Fixed Object Collision,3,0,Car,Tree,Nil
1380,2022-11-27,Sunday,Mahipalpur Flyover,Delhi,"28.545028355232883, 77.12116013069722",28.545028355232883,77.12116013069722,NH,Head On Collision ,1,0,Bicycle,Car,Delhi
1381,2022-11-26,Saturday,New Mandi Police Station ,Uttar Pradesh,"29.463238697237156, 77.70828460375006",29.463238697237156,77.70828460375006,OR,Hit From Side,4,0,Car,Truck,Nil
1382,2022-11-26,Saturday,Lakshika Hall,Maharashtra,"19.99111392207713, 73.76016762408145",19.99111392207713,73.76016762408145,OR,Hit From Back,1,1,Two Wheeler,Truck,Nashik
1383,2022-11-29,Tuesday,Eastern Peripheral Expy,Uttar Pradesh,"28.59302391596247, 77.55220224047828",28.59302391596247,77.55220224047828,OR,Vehicle Overturn,1,3,Car,Ditch,Nil
1384,2022-11-28,Monday,Hulikunte,Karnataka,"13.272266576516747, 77.35216646385031",13.272266576516747,77.35216646385031,NH,Head On Collision ,2,0,Two Wheeler,Truck,Nil
